,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,user_type,vip_info
0,0,0,https://pic1.zhimg.com/v2-9a352a683a366732f291db5118de2090_is.jpg,https://pic1.zhimg.com/v2-9a352a683a366732f291db5118de2090_{size}.jpg,[],0,-1,摄影师  古典文学爱好者 驴友,ccb83edc0594ca12f258dd4ddad9c7b5,False,False,False,False,归去,people,https://www.zhihu.com/people/ccb83edc0594ca12f258dd4ddad9c7b5,gui-qu-12-11,people,{'is_vip': False}
1,4,0,https://pic2.zhimg.com/v2-5d8052e8afbf07b9aa28ce49782360c1_is.jpg,https://pic2.zhimg.com/v2-5d8052e8afbf07b9aa28ce49782360c1_{size}.jpg,[],7,1,外貌协会，资浅程序员，炫妻狂魔，泰迪精附体,6feb3572f9a13b77fdf8572ba13b7bac,False,False,False,False,汉卿,people,https://www.zhihu.com/people/6feb3572f9a13b77fdf8572ba13b7bac,jianghe415,people,{'is_vip': False}
2,1,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,生物灵异心理学家,900ca3ceef40314d7a20e4142fc66281,False,False,False,False,帝焱,people,https://www.zhihu.com/people/900ca3ceef40314d7a20e4142fc66281,di-yan-58-30,people,{'is_vip': False}
3,0,0,https://pic3.zhimg.com/v2-f61d27d53af9fd5476dbb0ed3c52454e_is.jpg,https://pic3.zhimg.com/v2-f61d27d53af9fd5476dbb0ed3c52454e_{size}.jpg,[],0,0,还有很多有趣的事,44da2eedb14b514affff8197eb107320,False,False,False,False,Lonersc,people,https://www.zhihu.com/people/44da2eedb14b514affff8197eb107320,meng-nu-hai-93-76,people,{'is_vip': False}
4,6,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],1,-1,工科商科男,dd84d2f09cae1e29041e45f56fd6c9c0,False,False,False,False,张鑫磊,people,https://www.zhihu.com/people/dd84d2f09cae1e29041e45f56fd6c9c0,zhang-xin-lei-50-57,people,{'is_vip': False}
5,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,会计,84a7bc572644d9b455ffd5c99b0a4771,False,False,False,False,sSQ,people,https://www.zhihu.com/people/84a7bc572644d9b455ffd5c99b0a4771,ssq-2-77,people,{'is_vip': False}
6,1,0,https://pic4.zhimg.com/v2-21ec21dd98915d4acc9e5434495de237_is.jpg,https://pic4.zhimg.com/v2-21ec21dd98915d4acc9e5434495de237_{size}.jpg,[],9,-1,none,cdc35a6a2145734cdab81509852b634b,False,False,False,False,Morgon,people,https://www.zhihu.com/people/cdc35a6a2145734cdab81509852b634b,yang-zhen-hui-33,people,{'is_vip': False}
7,6,0,https://pic4.zhimg.com/v2-881cc17306db693fab0ed47713d782df_is.jpg,https://pic4.zhimg.com/v2-881cc17306db693fab0ed47713d782df_{size}.jpg,[],1,-1,,280a633bd17e0059e0ce9e41e2fa079d,False,False,False,False,我是瘦美人,people,https://www.zhihu.com/people/280a633bd17e0059e0ce9e41e2fa079d,wo-shi-shou-mei-ren,people,{'is_vip': False}
8,1,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,学生,63b7ba5bdb39cd3441e1804452af03be,False,False,False,False,柠柠,people,https://www.zhihu.com/people/63b7ba5bdb39cd3441e1804452af03be,ning-ning-35-17,people,{'is_vip': False}
9,414,1,https://pic4.zhimg.com/v2-bc6c6921d588f4303120cc585713fb43_is.jpg,https://pic4.zhimg.com/v2-bc6c6921d588f4303120cc585713fb43_{size}.jpg,[],106,-1,常刷乎，自以为大有所益,5e37db5394f27066c77013a3baffa3a0,False,False,False,False,一瞬斯年,people,https://www.zhihu.com/people/5e37db5394f27066c77013a3baffa3a0,li-jian-85-39,people,{'is_vip': False}
10,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,,eda109882467138b3ce7790e5a2a72fe,False,False,False,False,嘉庆,people,https://www.zhihu.com/people/eda109882467138b3ce7790e5a2a72fe,jia-qing-44-9,people,{'is_vip': False}
11,2,0,https://pic3.zhimg.com/v2-f267f66e721df68f29f3c2a4b81bd5ea_is.jpg,https://pic3.zhimg.com/v2-f267f66e721df68f29f3c2a4b81bd5ea_{size}.jpg,[],2,-1,,5a2ba2ca231b4caf60ff8c8a0efae4a2,False,False,False,False,好想咬你一小口,people,https://www.zhihu.com/people/5a2ba2ca231b4caf60ff8c8a0efae4a2,khaleesi-3-78,people,{'is_vip': False}
12,4,0,https://pic2.zhimg.com/v2-8679eedc489bee845b45eafa27209f7d_is.jpg,https://pic2.zhimg.com/v2-8679eedc489bee845b45eafa27209f7d_{size}.jpg,[],8,1,此生风花雪月过，不曾后悔,4383a6bf7412d2b0ce8b1f188201d477,False,False,False,False,书架,people,https://www.zhihu.com/people/4383a6bf7412d2b0ce8b1f188201d477,fei-xu-14,people,{'is_vip': False}
13,0,0,https://pic4.zhimg.com/v2-aa1b5c3d05eba6f94fe941d022318563_is.jpg,https://pic4.zhimg.com/v2-aa1b5c3d05eba6f94fe941d022318563_{size}.jpg,[],1,-1,在读大学生,b002e3ab788a2eddd8591073096cb64b,False,False,False,False,它也在思考着,people,https://www.zhihu.com/people/b002e3ab788a2eddd8591073096cb64b,huang-yong-bin-79,people,{'is_vip': False}
14,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,房地产,3bc5d85afa1b25808e6ff945580f4378,False,False,False,False,谭宇荣,people,https://www.zhihu.com/people/3bc5d85afa1b25808e6ff945580f4378,tan-yu-rong-19,people,{'is_vip': False}
15,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,学生,351e76688de247537e2ba307dd1d3627,False,False,False,False,七九五,people,https://www.zhihu.com/people/351e76688de247537e2ba307dd1d3627,qi-jiu-wu-13,people,{'is_vip': False}
16,1,0,https://pic3.zhimg.com/v2-6af6ceadf0bf4dddb3a3e2bf96be8f02_is.jpg,https://pic3.zhimg.com/v2-6af6ceadf0bf4dddb3a3e2bf96be8f02_{size}.jpg,[],1,0,在不违反法律的情况下尽可能做利于自己的事,d7b8e49299fad705b3a59aa40088d240,False,False,False,False,梦龙,people,https://www.zhihu.com/people/d7b8e49299fad705b3a59aa40088d240,meng-long-29-53,people,{'is_vip': False}
17,0,0,https://pic1.zhimg.com/v2-c70c3114852b0d951f3d59e8bf9815f0_is.jpg,https://pic1.zhimg.com/v2-c70c3114852b0d951f3d59e8bf9815f0_{size}.jpg,[],1,-1,,31aa49401e01b30b0bd63496cbf1c29c,False,False,False,False,l李,people,https://www.zhihu.com/people/31aa49401e01b30b0bd63496cbf1c29c,lli-50-59,people,{'is_vip': False}
18,0,0,https://pic1.zhimg.com/da8e974dc_is.jpg,https://pic1.zhimg.com/da8e974dc_{size}.jpg,[],0,-1,学生,9d3ee76f987867f09416107d944f3d10,False,False,False,False,小小,people,https://www.zhihu.com/people/9d3ee76f987867f09416107d944f3d10,xiao-xiao-31-84-72,people,{'is_vip': False}
